Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	-20.171875	-inf	64	0.946	9e-05	0
70000	-20.173333333333332	-inf	75	0.9369999999999999	9e-05	0.7394350647926331
80000	-20.16470588235294	-inf	85	0.9279999999999999	9e-05	0.7355230847994486
90000	-20.177083333333332	-inf	96	0.919	9e-05	0.7389527042706807
100000	-20.2	-20.14	106	0.91	9e-05	0.7403874874114991
110000	-20.22	-20.14	117	0.901	9e-05	0.750301476319631
120000	-20.2	-20.14	128	0.892	9e-05	0.7959386865297954
130000	-20.23	-20.14	139	0.883	9e-05	0.7597308953603109
140000	-20.21	-20.14	149	0.874	9e-05	0.7552833318710327
150000	-20.24	-20.14	161	0.865	9e-05	0.7636363704999288
160000	-20.24	-20.14	171	0.856	9e-05	0.7600498716036479
170000	-20.22	-20.14	182	0.847	9e-05	0.7710617542266845
180000	-20.22	-20.14	193	0.838	9e-05	0.7860039750734965
190000	-20.28	-20.14	204	0.829	9e-05	0.7783781727155049
200000	-20.27	-20.14	215	0.82	9e-05	0.7769778649012248
210000	-20.3	-20.14	226	0.8109999999999999	9e-05	0.8175802071889241
220000	-20.25	-20.14	237	0.802	9e-05	0.7785917361577351
230000	-20.32	-20.14	248	0.7929999999999999	9e-05	0.7807018399238587
240000	-20.29	-20.14	259	0.784	9e-05	0.7896251996358236
250000	-20.28	-20.14	270	0.775	9e-05	0.7875840226809184
260000	-20.3	-20.14	281	0.766	9e-05	0.7875893036524455
270000	-20.31	-20.14	292	0.757	9e-05	0.7885323842366536
280000	-20.26	-20.14	302	0.748	9e-05	0.7846667925516765
290000	-20.26	-20.14	313	0.739	9e-05	0.7913772980372111
300000	-20.29	-20.14	324	0.73	9e-05	0.7969229062398274
310000	-20.29	-20.14	334	0.721	9e-05	0.8077749848365784
320000	-20.28	-20.14	345	0.712	9e-05	0.8515298287073771
330000	-20.31	-20.14	355	0.703	9e-05	0.806718651453654
340000	-20.27	-20.14	366	0.694	9e-05	0.811116083463033
350000	-20.26	-20.14	376	0.685	9e-05	0.805379056930542
360000	-20.28	-20.14	387	0.6759999999999999	9e-05	0.80840904712677
370000	-20.26	-20.14	397	0.667	9e-05	0.8186232248942057
380000	-20.37	-20.14	408	0.6579999999999999	9e-05	0.8089782079060872
390000	-20.32	-20.14	418	0.649	9e-05	0.8109266678492228
400000	-20.28	-20.14	427	0.6399999999999999	9e-05	0.8072477976481119
410000	-20.21	-20.14	437	0.631	9e-05	0.8119969487190246
420000	-20.15	-20.14	447	0.622	9e-05	0.814420747756958
430000	-20.09	-20.08	456	0.613	9e-05	0.8150777975718181
440000	-20.08	-20.05	465	0.604	9e-05	0.8247724890708923
450000	-20.04	-20.04	474	0.595	9e-05	0.8227614442507426
460000	-19.94	-19.94	483	0.586	9e-05	0.8220650951067606
470000	-19.89	-19.89	492	0.577	9e-05	0.8254071354866028
480000	-19.8	-19.8	500	0.5680000000000001	9e-05	0.8329051971435547
490000	-19.66	-19.65	509	0.5589999999999999	9e-05	0.835044511159261
500000	-19.53	-19.53	517	0.55	9e-05	0.909163228670756
510000	-19.54	-19.5	525	0.5409999999999999	9e-05	0.8361269354820251
520000	-19.44	-19.43	533	0.532	9e-05	0.8448395530382792
530000	-19.34	-19.34	541	0.5229999999999999	9e-05	0.8499591072400411
540000	-19.2	-19.2	548	0.514	9e-05	0.845865265528361
550000	-19.14	-19.14	555	0.5049999999999999	9e-05	0.8527119835217793
560000	-19.05	-19.05	562	0.4959999999999999	9e-05	0.867110820611318
570000	-18.98	-18.98	570	0.487	9e-05	0.8508794744809468
580000	-18.92	-18.92	577	0.478	9e-05	0.8552865187327067
590000	-18.82	-18.82	584	0.469	9e-05	0.8593832532564799
600000	-18.6	-18.6	590	0.45999999999999996	9e-05	0.8596873919169108
610000	-18.48	-18.48	596	0.45099999999999996	9e-05	0.8730604847272238
620000	-18.31	-18.31	603	0.44199999999999995	9e-05	0.8790722211201986
630000	-18.19	-18.19	609	0.43299999999999994	9e-05	0.8759503086407979
640000	-18.09	-18.09	615	0.42399999999999993	9e-05	0.8773387591044108
650000	-18.04	-18.04	621	0.4149999999999999	9e-05	0.8742354353268941
660000	-17.96	-17.92	628	0.4059999999999999	9e-05	0.8797173460324605
670000	-17.79	-17.79	634	0.3969999999999999	9e-05	0.8847794493039449
680000	-17.72	-17.7	639	0.3879999999999999	9e-05	0.8895140965779622
690000	-17.7	-17.7	645	0.379	9e-05	0.8889529148737589
700000	-17.52	-17.52	651	0.37	9e-05	0.8873005350430806
710000	-17.42	-17.42	655	0.361	9e-05	0.8928374489148457
720000	-17.28	-17.28	661	0.352	9e-05	0.8915457050005595
730000	-17.17	-17.17	667	0.34299999999999997	9e-05	0.9008754253387451
740000	-16.98	-16.98	672	0.33399999999999996	9e-05	0.8995065728823344
750000	-16.87	-16.87	676	0.32499999999999996	9e-05	0.900030767917633
760000	-16.71	-16.7	682	0.31599999999999995	9e-05	0.9070345401763916
770000	-16.73	-16.69	687	0.30699999999999994	9e-05	0.9133865078290303
780000	-16.56	-16.55	692	0.29799999999999993	9e-05	0.9089521924654643
790000	-16.37	-16.37	696	0.2889999999999999	9e-05	0.9205927173296611
800000	-16.19	-16.19	701	0.2799999999999999	9e-05	0.918878444035848
810000	-16.18	-16.18	705	0.2709999999999999	9e-05	0.9194747090339661
820000	-16.12	-16.11	710	0.262	9e-05	0.9158466219902038
830000	-15.91	-15.91	714	0.253	9e-05	0.9204842686653137
840000	-15.78	-15.78	718	0.244	9e-05	0.9294473846753438
850000	-15.6	-15.6	723	0.235	9e-05	0.9416545828183492
860000	-15.55	-15.54	727	0.22599999999999998	9e-05	0.9321972648302714
870000	-15.35	-15.35	731	0.21699999999999997	9e-05	1.0949675877888998
880000	-15.28	-15.26	735	0.20799999999999996	9e-05	0.9357830007870992
890000	-14.97	-14.97	740	0.19899999999999995	9e-05	0.9427552978197734
900000	-14.91	-14.87	744	0.18999999999999995	9e-05	0.9503983974456787
910000	-14.82	-14.76	749	0.18099999999999994	9e-05	0.9459335764249166
920000	-14.63	-14.63	753	0.17199999999999993	9e-05	0.9460763891537984
930000	-14.43	-14.43	756	0.16299999999999992	9e-05	0.9488550662994385
940000	-14.21	-14.19	761	0.15400000000000003	9e-05	0.9493313709894816
950000	-14.09	-14.09	765	0.14500000000000002	9e-05	0.9537601629892986
960000	-13.83	-13.83	768	0.136	9e-05	0.9623326341311137
970000	-13.59	-13.59	772	0.127	9e-05	0.9582427144050598
980000	-13.46	-13.43	776	0.118	9e-05	0.9586103995641072
990000	-13.31	-13.31	780	0.10899999999999999	9e-05	0.9624275684356689
1000000	-13.18	-13.18	784	0.1	9e-05	0.9656090180079142
1010000	-13.02	-13.02	787	0.09996250000000001	9e-05	0.9650548775990804
1020000	-12.96	-12.96	791	0.099925	9e-05	0.9605326890945435
1030000	-12.92	-12.88	795	0.0998875	9e-05	0.9617010831832886
1040000	-12.78	-12.78	798	0.09985000000000001	9e-05	0.960432767868042
1050000	-12.64	-12.64	802	0.09981250000000001	9e-05	0.9605937321980794
1060000	-12.47	-12.47	806	0.099775	9e-05	0.965411905447642
1070000	-12.33	-12.33	810	0.0997375	9e-05	0.9617733041445414
1080000	-12.39	-12.33	814	0.09970000000000001	9e-05	0.9592326720555623
1090000	-12.11	-12.11	818	0.0996625	9e-05	0.9576303362846375
1100000	-11.94	-11.94	821	0.099625	9e-05	0.960867150624593
1110000	-11.68	-11.68	825	0.09958750000000001	9e-05	0.9567060669263204
1120000	-11.4	-11.4	828	0.09955	9e-05	0.9634175896644592
1130000	-11.33	-11.33	832	0.0995125	9e-05	0.9555418411890666
1140000	-11.16	-11.08	836	0.09947500000000001	9e-05	0.9568134427070618
1150000	-11.02	-11.02	839	0.09943750000000001	9e-05	0.9563494841257731
1160000	-10.67	-10.67	843	0.0994	9e-05	0.9579508304595947
1170000	-10.5	-10.5	846	0.0993625	9e-05	0.9615353226661683
1180000	-10.24	-10.24	849	0.09932500000000001	9e-05	0.955237336953481
1190000	-10.14	-10.13	853	0.0992875	9e-05	0.9548088788986206
1200000	-10.2	-10.13	856	0.09925	9e-05	0.9572365045547485
1210000	-9.96	-9.96	859	0.09921250000000001	9e-05	0.9598296006520589
1220000	-9.77	-9.77	863	0.099175	9e-05	0.9542141954104105
1230000	-9.58	-9.58	866	0.0991375	9e-05	0.9673134883244833
1240000	-9.36	-9.36	870	0.09910000000000001	9e-05	0.95772385597229
1250000	-9.56	-9.36	873	0.09906250000000001	9e-05	0.9606027841567993
1260000	-9.3	-9.3	877	0.099025	9e-05	0.961079212029775
1270000	-9.23	-9.13	881	0.0989875	9e-05	0.9635788083076477
1280000	-9.13	-9.13	884	0.09895000000000001	9e-05	0.9685787121454875
1290000	-9.03	-9.03	887	0.0989125	9e-05	0.959183144569397
1300000	-8.87	-8.87	890	0.098875	9e-05	0.960936176776886
1310000	-8.64	-8.64	893	0.09883750000000001	9e-05	0.9620447834332784
1320000	-8.38	-8.38	896	0.0988	9e-05	0.9628579060236613
