Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	-20.328125	-inf	64	0.946	0.0001	0
70000	-20.256756756756758	-inf	74	0.9369999999999999	0.0001	0.7413538932800293
80000	-20.211764705882352	-inf	85	0.9279999999999999	0.0001	0.7203243613243103
90000	-20.1875	-inf	96	0.919	0.0001	0.7194257378578186
100000	-20.2	-20.19	106	0.91	0.0001	0.7269487857818604
110000	-20.19	-20.18	117	0.901	0.0001	0.7199770013491312
120000	-20.22	-20.18	128	0.892	0.0001	0.7705034812291464
130000	-20.16	-20.16	139	0.883	0.0001	0.7255602916081746
140000	-20.12	-20.12	150	0.874	0.0001	0.7333849430084228
150000	-20.15	-20.12	160	0.865	0.0001	0.7384082476298014
160000	-20.24	-20.12	172	0.856	0.0001	0.7336745023727417
170000	-20.24	-20.12	182	0.847	0.0001	0.7415092468261719
180000	-20.27	-20.12	193	0.838	0.0001	0.7345651507377624
190000	-20.25	-20.12	203	0.829	0.0001	0.7440265218416849
200000	-20.19	-20.12	214	0.82	0.0001	0.7373082876205445
210000	-20.17	-20.12	225	0.8109999999999999	0.0001	0.791637138525645
220000	-20.23	-20.12	236	0.802	0.0001	0.7405683398246765
230000	-20.25	-20.12	246	0.7929999999999999	0.0001	0.7482799172401429
240000	-20.25	-20.12	257	0.784	0.0001	0.740794320901235
250000	-20.22	-20.12	267	0.775	0.0001	0.738980786005656
260000	-20.19	-20.12	278	0.766	0.0001	0.7414328257242838
270000	-20.2	-20.12	288	0.757	0.0001	0.7480470577875773
280000	-20.18	-20.12	298	0.748	0.0001	0.7609255154927571
290000	-20.18	-20.12	308	0.739	0.0001	0.7421619375546773
300000	-20.15	-20.12	318	0.73	0.0001	0.7555391033490498
310000	-20.15	-20.12	329	0.721	0.0001	0.7514272650082906
320000	-20.11	-20.11	339	0.712	0.0001	0.7562483509381612
330000	-20.03	-20.02	349	0.703	0.0001	0.8313053886095683
340000	-19.99	-19.99	359	0.694	0.0001	0.7606425245602926
350000	-19.91	-19.91	369	0.685	0.0001	0.7751853585243225
360000	-19.92	-19.89	379	0.6759999999999999	0.0001	0.7559577266375224
370000	-19.89	-19.89	389	0.667	0.0001	0.7632687369982402
380000	-19.86	-19.84	399	0.6579999999999999	0.0001	0.7634357412656149
390000	-19.88	-19.84	409	0.649	0.0001	0.7662919958432516
400000	-19.92	-19.84	419	0.6399999999999999	0.0001	0.7636735955874125
410000	-19.92	-19.84	429	0.631	0.0001	0.7686737497647603
420000	-19.78	-19.78	438	0.622	0.0001	0.7847018440564474
430000	-19.86	-19.78	447	0.613	0.0001	0.7735584616661072
440000	-19.77	-19.76	456	0.604	0.0001	0.7740784287452698
450000	-19.71	-19.69	464	0.595	0.0001	0.7793069005012512
460000	-19.64	-19.64	472	0.586	0.0001	0.7787974039713542
470000	-19.65	-19.6	481	0.577	0.0001	0.7823066314061483
480000	-19.62	-19.57	491	0.5680000000000001	0.0001	0.7874458273251851
490000	-19.59	-19.57	499	0.5589999999999999	0.0001	0.7899565021197001
500000	-19.46	-19.45	507	0.55	0.0001	0.7880220492680867
510000	-19.44	-19.44	516	0.5409999999999999	0.0001	0.8272699236869812
520000	-19.33	-19.32	525	0.532	0.0001	0.7892409761746725
530000	-19.29	-19.24	533	0.5229999999999999	0.0001	0.7843747854232788
540000	-19.25	-19.24	541	0.514	0.0001	0.7888876994450887
550000	-19.16	-19.16	550	0.5049999999999999	0.0001	0.8051920731862386
560000	-19.04	-19.04	556	0.4959999999999999	0.0001	0.7951088269551595
570000	-19.03	-19.03	564	0.487	0.0001	0.7966021060943603
580000	-19.02	-19.02	571	0.478	0.0001	0.7920672178268433
590000	-19.0	-19.0	579	0.469	0.0001	0.7969551642735799
600000	-18.91	-18.91	586	0.45999999999999996	0.0001	0.7938639005025228
610000	-18.77	-18.77	592	0.45099999999999996	0.0001	0.8048941810925802
620000	-18.69	-18.69	599	0.44199999999999995	0.0001	0.8100597778956096
630000	-18.67	-18.65	605	0.43299999999999994	0.0001	0.8053390145301819
640000	-18.57	-18.57	611	0.42399999999999993	0.0001	0.8112711350123087
650000	-18.44	-18.44	617	0.4149999999999999	0.0001	0.8038099447886149
660000	-18.38	-18.38	623	0.4059999999999999	0.0001	0.8131217400232951
670000	-18.25	-18.25	628	0.3969999999999999	0.0001	0.8072251439094543
680000	-18.17	-18.17	634	0.3879999999999999	0.0001	0.8268136541048686
690000	-18.04	-18.04	639	0.379	0.0001	0.8230485399564107
700000	-17.84	-17.84	644	0.37	0.0001	0.8207685550053915
710000	-17.63	-17.63	649	0.361	0.0001	0.8153867721557617
720000	-17.64	-17.63	654	0.352	0.0001	0.8217795054117839
730000	-17.48	-17.48	659	0.34299999999999997	0.0001	0.8261192758878072
740000	-17.37	-17.37	663	0.33399999999999996	0.0001	0.8410376906394958
750000	-17.29	-17.25	669	0.32499999999999996	0.0001	0.8345263878504435
760000	-17.22	-17.22	675	0.31599999999999995	0.0001	0.8282929142316182
770000	-17.11	-17.11	679	0.30699999999999994	0.0001	0.8300192872683207
780000	-16.97	-16.97	683	0.29799999999999993	0.0001	0.8290038108825684
790000	-16.92	-16.89	688	0.2889999999999999	0.0001	0.8407093604405721
800000	-16.81	-16.81	692	0.2799999999999999	0.0001	0.8503444910049438
810000	-16.7	-16.7	696	0.2709999999999999	0.0001	0.8386224110921224
820000	-16.61	-16.61	700	0.262	0.0001	0.840207286675771
830000	-16.61	-16.59	705	0.253	0.0001	0.8478675325711568
840000	-16.53	-16.53	709	0.244	0.0001	0.8481062054634094
850000	-16.47	-16.47	713	0.235	0.0001	0.8466658234596253
860000	-16.36	-16.34	717	0.22599999999999998	0.0001	0.8488324483235677
870000	-16.26	-16.25	721	0.21699999999999997	0.0001	0.8646652579307557
880000	-16.15	-16.15	725	0.20799999999999996	0.0001	0.8573681751887003
890000	-16.06	-16.06	729	0.19899999999999995	0.0001	0.9637226700782776
900000	-15.88	-15.88	733	0.18999999999999995	0.0001	0.8912850101788838
910000	-15.77	-15.77	737	0.18099999999999994	0.0001	0.8658083558082581
920000	-15.63	-15.63	741	0.17199999999999993	0.0001	0.8751530408859253
930000	-15.69	-15.63	745	0.16299999999999992	0.0001	0.8658060630162557
940000	-15.68	-15.63	750	0.15400000000000003	0.0001	0.8693268656730652
950000	-15.62	-15.61	753	0.14500000000000002	0.0001	0.8693755586942037
960000	-15.51	-15.51	757	0.136	0.0001	0.8655960083007812
970000	-15.51	-15.49	761	0.127	0.0001	0.8743211150169372
980000	-15.47	-15.47	765	0.118	0.0001	0.8867824157079061
990000	-15.2	-15.2	768	0.10899999999999999	0.0001	0.8819372216860454
1000000	-14.97	-14.97	772	0.1	0.0001	0.8779205918312073
1010000	-14.77	-14.77	775	0.09996250000000001	0.0001	0.8758434057235718
1020000	-14.55	-14.54	779	0.099925	0.0001	0.8839050650596618
1030000	-14.58	-14.53	783	0.0998875	0.0001	0.8809932430585226
