Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	-20.276923076923076	-inf	65	0.946	0.00011000000000000002	0
70000	-20.333333333333332	-inf	75	0.9369999999999999	0.00011000000000000002	0.7939218839009603
80000	-20.35632183908046	-inf	87	0.9279999999999999	0.00011000000000000002	0.7924294034639995
90000	-20.336734693877553	-inf	98	0.919	0.00011000000000000002	0.7945590058962504
100000	-20.3	-20.29	109	0.91	0.00011000000000000002	0.7974936167399088
110000	-20.37	-20.29	120	0.901	0.00011000000000000002	0.8003020842870077
120000	-20.34	-20.29	131	0.892	0.00011000000000000002	0.8566258788108826
130000	-20.37	-20.29	141	0.883	0.00011000000000000002	0.802549417813619
140000	-20.36	-20.29	152	0.874	0.00011000000000000002	0.8070696393648783
150000	-20.32	-20.29	163	0.865	0.00011000000000000002	0.8075431942939758
160000	-20.25	-20.25	174	0.856	0.00011000000000000002	0.8095509489377339
170000	-20.25	-20.25	184	0.847	0.00011000000000000002	0.8124865651130676
180000	-20.22	-20.22	195	0.838	0.00011000000000000002	0.8168039083480835
190000	-20.28	-20.22	207	0.829	0.00011000000000000002	0.8194708863894145
200000	-20.23	-20.22	218	0.82	0.00011000000000000002	0.8591478069623312
210000	-20.24	-20.22	229	0.8109999999999999	0.00011000000000000002	0.8191789229710896
220000	-20.26	-20.22	239	0.802	0.00011000000000000002	0.8214831391970316
230000	-20.28	-20.22	250	0.7929999999999999	0.00011000000000000002	0.8233229239781698
240000	-20.28	-20.22	261	0.784	0.00011000000000000002	0.8300570805867513
250000	-20.31	-20.22	272	0.775	0.00011000000000000002	0.8161121646563212
260000	-20.27	-20.22	283	0.766	0.00011000000000000002	0.8094022949536641
270000	-20.28	-20.22	294	0.757	0.00011000000000000002	0.8013789017995199
280000	-20.27	-20.22	304	0.748	0.00011000000000000002	0.7911386569341023
290000	-20.3	-20.22	315	0.739	0.00011000000000000002	0.7900139451026916
300000	-20.36	-20.22	326	0.73	0.00011000000000000002	0.78248557249705
310000	-20.32	-20.22	336	0.721	0.00011000000000000002	0.7819331367810567
320000	-20.36	-20.22	347	0.712	0.00011000000000000002	0.8306308388710022
330000	-20.34	-20.22	357	0.703	0.00011000000000000002	0.7750735759735108
340000	-20.25	-20.22	366	0.694	0.00011000000000000002	0.7717807610829671
350000	-20.22	-20.21	377	0.685	0.00011000000000000002	0.7727734247843424
360000	-20.25	-20.21	387	0.6759999999999999	0.00011000000000000002	0.7742205580075582
370000	-20.27	-20.21	397	0.667	0.00011000000000000002	0.7759130676587422
380000	-20.2	-20.2	407	0.6579999999999999	0.00011000000000000002	0.7763195912043254
390000	-20.09	-20.09	417	0.649	0.00011000000000000002	0.7738048553466796
400000	-20.03	-20.03	426	0.6399999999999999	0.00011000000000000002	0.7738575100898742
410000	-20.07	-20.01	436	0.631	0.00011000000000000002	0.7768789927164713
420000	-20.01	-19.99	445	0.622	0.00011000000000000002	0.7697774648666382
430000	-19.99	-19.97	454	0.613	0.00011000000000000002	0.7785579681396484
440000	-20.0	-19.95	464	0.604	0.00011000000000000002	0.7955911993980408
450000	-20.03	-19.95	473	0.595	0.00011000000000000002	0.8065875848134358
460000	-19.96	-19.94	482	0.586	0.00011000000000000002	0.8184786001841228
470000	-19.91	-19.88	491	0.577	0.00011000000000000002	0.8241210818290711
480000	-19.81	-19.81	499	0.5680000000000001	0.00011000000000000002	0.8165747086207072
490000	-19.78	-19.78	507	0.5589999999999999	0.00011000000000000002	0.8018818736076355
500000	-19.76	-19.75	515	0.55	0.00011000000000000002	0.886467719078064
510000	-19.66	-19.66	522	0.5409999999999999	0.00011000000000000002	0.8031817515691121
520000	-19.63	-19.62	530	0.532	0.00011000000000000002	0.792938228448232
530000	-19.62	-19.6	538	0.5229999999999999	0.00011000000000000002	0.7896706302960713
540000	-19.51	-19.51	545	0.514	0.00011000000000000002	0.7974217375119527
550000	-19.37	-19.37	552	0.5049999999999999	0.00011000000000000002	0.7931434273719787
560000	-19.21	-19.21	559	0.4959999999999999	0.00011000000000000002	0.7979397018750508
570000	-19.1	-19.1	566	0.487	0.00011000000000000002	0.8078110257784525
580000	-19.0	-18.99	573	0.478	0.00011000000000000002	0.7925221443176269
590000	-18.96	-18.93	579	0.469	0.00011000000000000002	0.8004077792167663
